History,History_Structure,Depth,Payoff,Player,Real_Parents,Actions,Probability,Index_Members,Map_Clust,Actions_Prob
/J?/P1:raise2/P2:raise2/P1:c/C:J,0,5,"[13.0, -9.0, 9.0, 5.0, 13.0, 9.0, 9.0, -5.0, 5.0, 13.0, -9.0, 9.0, 5.0, 13.0, 9.0, 9.0, -5.0, 5.0]",1,[87],"['raise4', 'c']",0.06666666666666668,"[179, 419]",[20],"[1.0, 0.0]"
/J?/P1:raise2/P2:raise2/P1:c/C:K,0,5,"[0.0, -9.0, 0.0, 5.0, 0.0, 9.0, 0.0, -5.0, 0.0, -13.0, -9.0, -9.0, 5.0, -13.0, 9.0, -9.0, -5.0, -5.0, -13.0, -9.0, -9.0, 5.0, -13.0, 9.0, -9.0, -5.0, -5.0]",1,[87],"['raise4', 'c']",0.13333333333333333,"[29, 209, 449]",[22],"[0.5, 0.5]"
/K?/P1:c/P2:c/C:Q,1,4,"[9.0, -5.0, 5.0, 1.0, 9.0, 5.0, 5.0, -1.0, 1.0, -9.0, -5.0, -5.0, 1.0, -9.0, 5.0, -5.0, -1.0, -1.0, 0.0, -5.0, 0.0, 1.0, 0.0, 5.0, 0.0, -1.0, 0.0]",1,[45],"['raise4', 'c']",0.13333333333333333,"[1511, 1751, 1931]",[10],"[0.5, 0.5]"
/K?/P1:c/P2:c/C:Q/P1:c/P2:raise4,2,6,"[9.0, 5.0, 5.0, -1.0, -9.0, 5.0, -5.0, -1.0, 0.0, 5.0, 0.0, -1.0]",1,[2],"['raise4', 'c', 'f']",0.13333333333333333,"[1508, 1748, 1928]",[44],"[0.0, 0.0, 1.0]"
/Q?/P1:c/P2:raise2/P1:c/C:J/P1:c/P2:raise4,3,7,"[-11.0, 7.0, -7.0, -3.0, 0.0, 7.0, 0.0, -3.0, -11.0, 7.0, -7.0, -3.0]",1,[95],"['raise4', 'c', 'f']",0.13333333333333333,"[800, 995, 1205]",[80],"[0.0, 0.0, 1.0]"
/J?/P1:c/P2:raise2/P1:raise2/P2:c/C:K/P1:raise4/P2:raise4,4,8,"[0.0, -9.0, -13.0, -9.0, -13.0, -9.0]",1,[105],"['c', 'f']",0.13333333333333333,"[83, 293, 533]",[112],"[1.0, 0.0]"
/Q?/P1:c/P2:raise2/P1:raise2/P2:c/C:Q/P1:raise4/P2:raise4,4,8,"[13.0, -9.0, 13.0, -9.0]",1,[100],"['c', 'f']",0.06666666666666668,"[758, 1163]",[115],"[1.0, 0.0]"
/J?/P1:raise2/P2:raise2/P1:c/C:J/P1:c/P2:raise4,5,7,"[13.0, 9.0, 9.0, -5.0, 13.0, 9.0, 9.0, -5.0]",1,[0],"['raise4', 'c', 'f']",0.06666666666666668,"[176, 416]",[83],"[0.5, 0.5000000000000001, 0.0]"
/Q?/P1:c/P2:raise2/P1:raise2/P2:c/C:K/P1:c/P2:raise4,6,8,"[13.0, 9.0, 9.0, -5.0, 0.0, 9.0, 0.0, -5.0, -13.0, 9.0, -9.0, -5.0]",1,[99],"['raise4', 'c', 'f']",0.13333333333333333,"[782, 977, 1187]",[116],"[0.0, 1.0, 0.0]"
/J?/P1:raise2/P2:raise2/P1:c/C:Q,0,5,"[0.0, -9.0, 0.0, 5.0, 0.0, 9.0, 0.0, -5.0, 0.0, -13.0, -9.0, -9.0, 5.0, -13.0, 9.0, -9.0, -5.0, -5.0, -13.0, -9.0, -9.0, 5.0, -13.0, 9.0, -9.0, -5.0, -5.0]",1,[87],"['raise4', 'c']",0.13333333333333333,"[14, 194, 434]",[22],"[0.5, 0.5]"
