History,Player,Actions,Map,Depth,Sons,Parents
/C:JQ,1,"['c', 'r']",0,1,"[1, 2, 3]",[]
/C:JQ/P1:c/P2:r,1,"['c', 'f']",1,3,[],"[0, 2]"
/C:JQ/P1:c,2,"['c', 'r']",6,2,[1],[0]
/C:JQ/P1:r,2,"['c', 'f']",7,2,[],[0]
/C:JK,1,"['c', 'r']",0,1,"[5, 6, 7]",[]
/C:JK/P1:c/P2:r,1,"['c', 'f']",1,3,[],"[4, 6]"
/C:JK/P1:c,2,"['c', 'r']",10,2,[5],[4]
/C:JK/P1:r,2,"['c', 'f']",11,2,[],[4]
/C:QJ,1,"['c', 'r']",4,1,"[9, 10, 11]",[]
/C:QJ/P1:c/P2:r,1,"['c', 'f']",5,3,[],"[8, 10]"
/C:QJ/P1:c,2,"['c', 'r']",2,2,[9],[8]
/C:QJ/P1:r,2,"['c', 'f']",3,2,[],[8]
/C:QK,1,"['c', 'r']",4,1,"[13, 14, 15]",[]
/C:QK/P1:c/P2:r,1,"['c', 'f']",5,3,[],"[12, 14]"
/C:QK/P1:c,2,"['c', 'r']",10,2,[13],[12]
/C:QK/P1:r,2,"['c', 'f']",11,2,[],[12]
/C:KJ,1,"['c', 'r']",8,1,"[17, 18, 19]",[]
/C:KJ/P1:c/P2:r,1,"['c', 'f']",9,3,[],"[16, 18]"
/C:KJ/P1:c,2,"['c', 'r']",2,2,[17],[16]
/C:KJ/P1:r,2,"['c', 'f']",3,2,[],[16]
/C:KQ,1,"['c', 'r']",8,1,"[21, 22, 23]",[]
/C:KQ/P1:c/P2:r,1,"['c', 'f']",9,3,[],"[20, 22]"
/C:KQ/P1:c,2,"['c', 'r']",6,2,[21],[20]
/C:KQ/P1:r,2,"['c', 'f']",7,2,[],[20]
