History,Payoff
/C:JJ/P1:raise2/P2:raise2/P1:c/C:Q/P1:raise4/P2:raise4/P1:c,"[0.0, 0.0]"
/C:JJ/P1:raise2/P2:raise2/P1:c/C:Q/P1:raise4/P2:raise4/P1:f,"[-9.0, 9.0]"
/C:JJ/P1:raise2/P2:raise2/P1:c/C:Q/P1:raise4/P2:c,"[0.0, 0.0]"
/C:JJ/P1:raise2/P2:raise2/P1:c/C:Q/P1:raise4/P2:f,"[5.0, -5.0]"
/C:JJ/P1:raise2/P2:raise2/P1:c/C:Q/P1:c/P2:raise4/P1:raise4/P2:c,"[0.0, 0.0]"
/C:JJ/P1:raise2/P2:raise2/P1:c/C:Q/P1:c/P2:raise4/P1:raise4/P2:f,"[9.0, -9.0]"
/C:JJ/P1:raise2/P2:raise2/P1:c/C:Q/P1:c/P2:raise4/P1:c,"[0.0, 0.0]"
/C:JJ/P1:raise2/P2:raise2/P1:c/C:Q/P1:c/P2:raise4/P1:f,"[-5.0, 5.0]"
/C:JJ/P1:raise2/P2:raise2/P1:c/C:Q/P1:c/P2:c,"[0.0, 0.0]"
/C:JJ/P1:raise2/P2:raise2/P1:c/C:K/P1:raise4/P2:raise4/P1:c,"[0.0, 0.0]"
/C:JJ/P1:raise2/P2:raise2/P1:c/C:K/P1:raise4/P2:raise4/P1:f,"[-9.0, 9.0]"
/C:JJ/P1:raise2/P2:raise2/P1:c/C:K/P1:raise4/P2:c,"[0.0, 0.0]"
/C:JJ/P1:raise2/P2:raise2/P1:c/C:K/P1:raise4/P2:f,"[5.0, -5.0]"
/C:JJ/P1:raise2/P2:raise2/P1:c/C:K/P1:c/P2:raise4/P1:raise4/P2:c,"[0.0, 0.0]"
/C:JJ/P1:raise2/P2:raise2/P1:c/C:K/P1:c/P2:raise4/P1:raise4/P2:f,"[9.0, -9.0]"
/C:JJ/P1:raise2/P2:raise2/P1:c/C:K/P1:c/P2:raise4/P1:c,"[0.0, 0.0]"
/C:JJ/P1:raise2/P2:raise2/P1:c/C:K/P1:c/P2:raise4/P1:f,"[-5.0, 5.0]"
/C:JJ/P1:raise2/P2:raise2/P1:c/C:K/P1:c/P2:c,"[0.0, 0.0]"
/C:JJ/P1:raise2/P2:raise2/P1:f,"[-3.0, 3.0]"
/C:JJ/P1:raise2/P2:c/C:Q/P1:raise4/P2:raise4/P1:c,"[0.0, 0.0]"
/C:JJ/P1:raise2/P2:c/C:Q/P1:raise4/P2:raise4/P1:f,"[-7.0, 7.0]"
/C:JJ/P1:raise2/P2:c/C:Q/P1:raise4/P2:c,"[0.0, 0.0]"
/C:JJ/P1:raise2/P2:c/C:Q/P1:raise4/P2:f,"[3.0, -3.0]"
/C:JJ/P1:raise2/P2:c/C:Q/P1:c/P2:raise4/P1:raise4/P2:c,"[0.0, 0.0]"
/C:JJ/P1:raise2/P2:c/C:Q/P1:c/P2:raise4/P1:raise4/P2:f,"[7.0, -7.0]"
/C:JJ/P1:raise2/P2:c/C:Q/P1:c/P2:raise4/P1:c,"[0.0, 0.0]"
/C:JJ/P1:raise2/P2:c/C:Q/P1:c/P2:raise4/P1:f,"[-3.0, 3.0]"
/C:JJ/P1:raise2/P2:c/C:Q/P1:c/P2:c,"[0.0, 0.0]"
/C:JJ/P1:raise2/P2:c/C:K/P1:raise4/P2:raise4/P1:c,"[0.0, 0.0]"
