History,Actions,Odds,Probabilities
/C:99/P1:raise2/P2:raise2/P1:c,['T' ,  'J' ,  'Q' ,  'K'],[2.0 ,  2.0 ,  2.0 ,  2.0],[0.25 ,  0.25 ,  0.25 ,  0.25]
/C:99/P1:raise2/P2:c,['T' ,  'J' ,  'Q' ,  'K'],[2.0 ,  2.0 ,  2.0 ,  2.0],[0.25 ,  0.25 ,  0.25 ,  0.25]
/C:99/P1:c/P2:raise2/P1:raise2/P2:c,['T' ,  'J' ,  'Q' ,  'K'],[2.0 ,  2.0 ,  2.0 ,  2.0],[0.25 ,  0.25 ,  0.25 ,  0.25]
/C:99/P1:c/P2:raise2/P1:c,['T' ,  'J' ,  'Q' ,  'K'],[2.0 ,  2.0 ,  2.0 ,  2.0],[0.25 ,  0.25 ,  0.25 ,  0.25]
/C:99/P1:c/P2:c,['T' ,  'J' ,  'Q' ,  'K'],[2.0 ,  2.0 ,  2.0 ,  2.0],[0.25 ,  0.25 ,  0.25 ,  0.25]
/C:9T/P1:raise2/P2:raise2/P1:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[1.0 ,  1.0 ,  2.0 ,  2.0 ,  2.0],[0.125 ,  0.125 ,  0.25 ,  0.25 ,  0.25]
/C:9T/P1:raise2/P2:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[1.0 ,  1.0 ,  2.0 ,  2.0 ,  2.0],[0.125 ,  0.125 ,  0.25 ,  0.25 ,  0.25]
/C:9T/P1:c/P2:raise2/P1:raise2/P2:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[1.0 ,  1.0 ,  2.0 ,  2.0 ,  2.0],[0.125 ,  0.125 ,  0.25 ,  0.25 ,  0.25]
/C:9T/P1:c/P2:raise2/P1:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[1.0 ,  1.0 ,  2.0 ,  2.0 ,  2.0],[0.125 ,  0.125 ,  0.25 ,  0.25 ,  0.25]
/C:9T/P1:c/P2:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[1.0 ,  1.0 ,  2.0 ,  2.0 ,  2.0],[0.125 ,  0.125 ,  0.25 ,  0.25 ,  0.25]
/C:9J/P1:raise2/P2:raise2/P1:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[1.0 ,  2.0 ,  1.0 ,  2.0 ,  2.0],[0.125 ,  0.25 ,  0.125 ,  0.25 ,  0.25]
/C:9J/P1:raise2/P2:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[1.0 ,  2.0 ,  1.0 ,  2.0 ,  2.0],[0.125 ,  0.25 ,  0.125 ,  0.25 ,  0.25]
/C:9J/P1:c/P2:raise2/P1:raise2/P2:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[1.0 ,  2.0 ,  1.0 ,  2.0 ,  2.0],[0.125 ,  0.25 ,  0.125 ,  0.25 ,  0.25]
/C:9J/P1:c/P2:raise2/P1:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[1.0 ,  2.0 ,  1.0 ,  2.0 ,  2.0],[0.125 ,  0.25 ,  0.125 ,  0.25 ,  0.25]
/C:9J/P1:c/P2:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[1.0 ,  2.0 ,  1.0 ,  2.0 ,  2.0],[0.125 ,  0.25 ,  0.125 ,  0.25 ,  0.25]
/C:9Q/P1:raise2/P2:raise2/P1:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[1.0 ,  2.0 ,  2.0 ,  1.0 ,  2.0],[0.125 ,  0.25 ,  0.25 ,  0.125 ,  0.25]
