History,History_Structure,Depth,Payoff,Player,Real_Parents,Actions,Probability,Index_Members,Map_Clust,Actions_Prob
/J?/P1:raise2/P2:raise2/P1:c/C:J,0,5,"[13.0, -9.0, 9.0, 5.0, 13.0, 9.0, 9.0, -5.0, 5.0, 13.0, -9.0, 9.0, 5.0, 13.0, 9.0, 9.0, -5.0, 5.0]",1,[87],"['raise4', 'c']",0.06666666666666668,"[179, 419]",[20],"[0.0006954560297583553, 0.9993045439702417]"
/J?/P1:raise2/P2:raise2/P1:c/C:K,0,5,"[0.0, -9.0, 0.0, 5.0, 0.0, 9.0, 0.0, -5.0, 0.0, -13.0, -9.0, -9.0, 5.0, -13.0, 9.0, -9.0, -5.0, -5.0, -13.0, -9.0, -9.0, 5.0, -13.0, 9.0, -9.0, -5.0, -5.0]",1,[87],"['raise4', 'c']",0.13333333333333333,"[29, 209, 449]",[22],"[0.0014396907915354405, 0.9985603092084646]"
/K?/P1:c/P2:c/C:Q,1,4,"[9.0, -5.0, 5.0, 1.0, 9.0, 5.0, 5.0, -1.0, 1.0, -9.0, -5.0, -5.0, 1.0, -9.0, 5.0, -5.0, -1.0, -1.0, 0.0, -5.0, 0.0, 1.0, 0.0, 5.0, 0.0, -1.0, 0.0]",1,[45],"['raise4', 'c']",0.13333333333333333,"[1511, 1751, 1931]",[10],"[0.0001921598770176787, 0.9998078401229823]"
/K?/P1:c/P2:c/C:Q/P1:c/P2:raise4,2,6,"[9.0, 5.0, 5.0, -1.0, -9.0, 5.0, -5.0, -1.0, 0.0, 5.0, 0.0, -1.0]",1,[2],"['raise4', 'c', 'f']",0.13333333333333333,"[1508, 1748, 1928]",[44],"[0.999871349543291, 6.432522835456066e-05, 6.432522835456066e-05]"
/Q?/P1:c/P2:raise2/P1:c/C:J/P1:c/P2:raise4,3,7,"[-11.0, 7.0, -7.0, -3.0, 0.0, 7.0, 0.0, -3.0, -11.0, 7.0, -7.0, -3.0]",1,[95],"['raise4', 'c', 'f']",0.13333333333333333,"[800, 995, 1205]",[80],"[0.999822695035461, 8.865248226950354e-05, 8.865248226950354e-05]"
/J?/P1:c/P2:raise2/P1:raise2/P2:c/C:K/P1:raise4/P2:raise4,4,8,"[0.0, -9.0, -13.0, -9.0, -13.0, -9.0]",1,[105],"['c', 'f']",0.13333333333333333,"[83, 293, 533]",[112],"[0.9999037350789373, 9.626492106276473e-05]"
/Q?/P1:c/P2:raise2/P1:raise2/P2:c/C:Q/P1:raise4/P2:raise4,4,8,"[13.0, -9.0, 13.0, -9.0]",1,[100],"['c', 'f']",0.06666666666666668,"[758, 1163]",[115],"[0.9997741644083108, 0.00022583559168925022]"
/J?/P1:raise2/P2:raise2/P1:c/C:J/P1:c/P2:raise4,5,7,"[13.0, 9.0, 9.0, -5.0, 13.0, 9.0, 9.0, -5.0]",1,[0],"['raise4', 'c', 'f']",0.06666666666666668,"[176, 416]",[83],"[0.4999267399267399, 0.4999267399267399, 0.00014652014652014652]"
/Q?/P1:c/P2:raise2/P1:raise2/P2:c/C:K/P1:c/P2:raise4,6,8,"[13.0, 9.0, 9.0, -5.0, 0.0, 9.0, 0.0, -5.0, -13.0, 9.0, -9.0, -5.0]",1,[99],"['raise4', 'c', 'f']",0.13333333333333333,"[782, 977, 1187]",[116],"[0.999865007811843, 7.081557411513726e-05, 6.417661404184315e-05]"
/J?/P1:raise2/P2:raise2/P1:c/C:Q,0,5,"[0.0, -9.0, 0.0, 5.0, 0.0, 9.0, 0.0, -5.0, 0.0, -13.0, -9.0, -9.0, 5.0, -13.0, 9.0, -9.0, -5.0, -5.0, -13.0, -9.0, -9.0, 5.0, -13.0, 9.0, -9.0, -5.0, -5.0]",1,[87],"['raise4', 'c']",0.13333333333333333,"[14, 194, 434]",[22],"[0.0014396907915354405, 0.9985603092084646]"
/K?/P1:c/P2:c/C:K,1,4,"[9.0, -5.0, 5.0, 1.0, 9.0, 5.0, 5.0, -1.0, 1.0, 9.0, -5.0, 5.0, 1.0, 9.0, 5.0, 5.0, -1.0, 1.0]",1,[45],"['raise4', 'c']",0.06666666666666668,"[1526, 1766]",[13],"[0.9970395919585652, 0.0029604080414349365]"
/K?/P1:c/P2:c/C:J,1,4,"[-9.0, -5.0, -5.0, 1.0, -9.0, 5.0, -5.0, -1.0, -1.0, 9.0, -5.0, 5.0, 1.0, 9.0, 5.0, 5.0, -1.0, 1.0, 0.0, -5.0, 0.0, 1.0, 0.0, 5.0, 0.0, -1.0, 0.0]",1,[45],"['raise4', 'c']",0.13333333333333333,"[1496, 1736, 1916]",[11],"[0.0013894654305613209, 0.9986105345694387]"
/K?/P1:raise2/P2:raise2,7,3,"[-13.0, -9.0, -9.0, 5.0, -13.0, 9.0, -9.0, -5.0, -5.0, 13.0, -9.0, 9.0, 5.0, 13.0, 9.0, 9.0, -5.0, 5.0, 13.0, -9.0, 9.0, 5.0, 13.0, 9.0, 9.0, -5.0, 5.0, -3.0, 13.0, -9.0, 9.0, 5.0, 13.0, 9.0, 9.0, -5.0, 5.0, -13.0, -9.0, -9.0, 5.0, -13.0, 9.0, -9.0, -5.0, -5.0, 13.0, -9.0, 9.0, 5.0, 13.0, 9.0, 9.0, -5.0, 5.0, -3.0, 0.0, -9.0, 0.0, 5.0, 0.0, 9.0, 0.0, -5.0, 0.0, 0.0, -9.0, 0.0, 5.0, 0.0, 9.0, 0.0, -5.0, 0.0, -3.0]",1,[45],"['c', 'f']",0.3333333333333333,"[1337, 1577, 1802]",[6],"[0.999925451021321, 7.45489786789921e-05]"
/K?/P1:raise2/P2:raise2/P1:c/C:K/P1:c/P2:raise4,5,7,"[13.0, 9.0, 9.0, -5.0, 13.0, 9.0, 9.0, -5.0]",1,[21],"['raise4', 'c', 'f']",0.06666666666666668,"[1331, 1571]",[83],"[0.4999267399267399, 0.4999267399267399, 0.00014652014652014652]"
/J?/P1:c/P2:c/C:K/P1:c/P2:raise4,2,6,"[0.0, 5.0, 0.0, -1.0, -9.0, 5.0, -5.0, -1.0, -9.0, 5.0, -5.0, -1.0]",1,[63],"['raise4', 'c', 'f']",0.13333333333333333,"[158, 398, 638]",[44],"[0.999871349543291, 6.432522835456066e-05, 6.432522835456066e-05]"
/Q?/P1:raise2/P2:raise2/P1:c/C:K/P1:c/P2:raise4,5,7,"[13.0, 9.0, 9.0, -5.0, 0.0, 9.0, 0.0, -5.0, -13.0, 9.0, -9.0, -5.0]",1,[82],"['raise4', 'c', 'f']",0.13333333333333333,"[686, 911, 1091]",[84],"[0.999863986532437, 7.135132724617322e-05, 6.466214031684449e-05]"
/K?/P1:c/P2:raise2/P1:c/C:K/P1:raise4/P2:raise4,8,7,"[11.0, -7.0, 11.0, -7.0]",1,[121],"['c', 'f']",0.06666666666666668,"[1466, 1706]",[87],"[0.9997854077253219, 0.00021459227467811158]"
/J?/P1:c/P2:raise2/P1:c/C:K/P1:raise4/P2:raise4,8,7,"[0.0, -7.0, -11.0, -7.0, -11.0, -7.0]",1,[119],"['c', 'f']",0.13333333333333333,"[116, 341, 581]",[88],"[0.9994820987809119, 0.0005179012190880476]"
/K?/P1:c/P2:raise2/P1:c/C:Q/P1:c/P2:raise4,3,7,"[11.0, 7.0, 7.0, -3.0, -11.0, 7.0, -7.0, -3.0, 0.0, 7.0, 0.0, -3.0]",1,[74],"['raise4', 'c', 'f']",0.13333333333333333,"[1460, 1700, 1895]",[81],"[0.9997447677386421, 0.00012761613067891782, 0.00012761613067891782]"
/J?/P1:c/P2:raise2/P1:c/C:Q/P1:c/P2:raise4,3,7,"[0.0, 7.0, 0.0, -3.0, -11.0, 7.0, -7.0, -3.0, -11.0, 7.0, -7.0, -3.0]",1,[113],"['raise4', 'c', 'f']",0.13333333333333333,"[110, 335, 575]",[80],"[0.999822695035461, 8.865248226950354e-05, 8.865248226950354e-05]"
/Q?/P1:raise2/P2:raise2/P1:c/C:Q/P1:c/P2:raise4,5,7,"[13.0, 9.0, 9.0, -5.0, 13.0, 9.0, 9.0, -5.0]",1,[86],"['raise4', 'c', 'f']",0.06666666666666668,"[671, 1076]",[83],"[0.4999267399267399, 0.4999267399267399, 0.00014652014652014652]"
/K?/P1:raise2/P2:raise2/P1:c/C:K,0,5,"[13.0, -9.0, 9.0, 5.0, 13.0, 9.0, 9.0, -5.0, 5.0, 13.0, -9.0, 9.0, 5.0, 13.0, 9.0, 9.0, -5.0, 5.0]",1,[12],"['raise4', 'c']",0.06666666666666668,"[1334, 1574]",[20],"[0.0006954560297583553, 0.9993045439702417]"
/K?/P1:raise2/P2:raise2/P1:c/C:J,0,5,"[-13.0, -9.0, -9.0, 5.0, -13.0, 9.0, -9.0, -5.0, -5.0, 13.0, -9.0, 9.0, 5.0, 13.0, 9.0, 9.0, -5.0, 5.0, 0.0, -9.0, 0.0, 5.0, 0.0, 9.0, 0.0, -5.0, 0.0]",1,[12],"['raise4', 'c']",0.13333333333333333,"[1304, 1544, 1784]",[21],"[0.0017559552174078558, 0.9982440447825921]"
/Q?/P1:c/P2:c/C:Q,1,4,"[9.0, -5.0, 5.0, 1.0, 9.0, 5.0, 5.0, -1.0, 1.0, 9.0, -5.0, 5.0, 1.0, 9.0, 5.0, 5.0, -1.0, 1.0]",1,[138],"['raise4', 'c']",0.06666666666666668,"[866, 1271]",[13],"[0.9970395919585652, 0.0029604080414349365]"
/J?/P1:c/P2:raise2/P1:c/C:K/P1:c/P2:raise4,3,7,"[0.0, 7.0, 0.0, -3.0, -11.0, 7.0, -7.0, -3.0, -11.0, 7.0, -7.0, -3.0]",1,[119],"['raise4', 'c', 'f']",0.13333333333333333,"[125, 350, 590]",[80],"[0.999822695035461, 8.865248226950354e-05, 8.865248226950354e-05]"
/Q?/P1:c/P2:c/C:K,1,4,"[9.0, -5.0, 5.0, 1.0, 9.0, 5.0, 5.0, -1.0, 1.0, 0.0, -5.0, 0.0, 1.0, 0.0, 5.0, 0.0, -1.0, 0.0, -9.0, -5.0, -5.0, 1.0, -9.0, 5.0, -5.0, -1.0, -1.0]",1,[138],"['raise4', 'c']",0.13333333333333333,"[881, 1046, 1286]",[10],"[0.0001921598770176787, 0.9998078401229823]"
/Q?/P1:c/P2:c/C:J,1,4,"[-9.0, -5.0, -5.0, 1.0, -9.0, 5.0, -5.0, -1.0, -1.0, 0.0, -5.0, 0.0, 1.0, 0.0, 5.0, 0.0, -1.0, 0.0, -9.0, -5.0, -5.0, 1.0, -9.0, 5.0, -5.0, -1.0, -1.0]",1,[138],"['raise4', 'c']",0.13333333333333333,"[851, 1031, 1256]",[11],"[0.0013894654305613209, 0.9986105345694387]"
/K?/P1:raise2/P2:raise2/P1:c/C:Q,0,5,"[13.0, -9.0, 9.0, 5.0, 13.0, 9.0, 9.0, -5.0, 5.0, -13.0, -9.0, -9.0, 5.0, -13.0, 9.0, -9.0, -5.0, -5.0, 0.0, -9.0, 0.0, 5.0, 0.0, 9.0, 0.0, -5.0, 0.0]",1,[12],"['raise4', 'c']",0.13333333333333333,"[1319, 1559, 1799]",[23],"[0.0003866976024748647, 0.9996133023975251]"
