History,Members,Depth,Payoff Vector P1,Payoff Vector P2,Player,Sons,Parents
/9?/P1:c/P2:c/C:K/P1:c/P2:raise4,"['/C:99/P1:c/P2:c/C:K/P1:c/P2:raise4', '/C:9T/P1:c/P2:c/C:K/P1:c/P2:raise4', '/C:9J/P1:c/P2:c/C:K/P1:c/P2:raise4', '/C:9Q/P1:c/P2:c/C:K/P1:c/P2:raise4', '/C:9K/P1:c/P2:c/C:K/P1:c/P2:raise4']",6,"[0.0, 5.0, 0.0, -1.0, -9.0, 5.0, -5.0, -1.0, -9.0, 5.0, -5.0, -1.0, -9.0, 5.0, -5.0, -1.0, -9.0, 5.0, -5.0, -1.0]","[0.0, -5.0, 0.0, 1.0, 9.0, -5.0, 5.0, 1.0, 9.0, -5.0, 5.0, 1.0, 9.0, -5.0, 5.0, 1.0, 9.0, -5.0, 5.0, 1.0]",1,[],"[26, 348]"
/K?/P1:c/P2:c/C:Q,"['/C:K9/P1:c/P2:c/C:Q', '/C:KT/P1:c/P2:c/C:Q', '/C:KJ/P1:c/P2:c/C:Q', '/C:KQ/P1:c/P2:c/C:Q', '/C:KK/P1:c/P2:c/C:Q']",4,"[9.0, -5.0, 5.0, 1.0, 9.0, 5.0, 5.0, -1.0, 1.0, 9.0, -5.0, 5.0, 1.0, 9.0, 5.0, 5.0, -1.0, 1.0, 9.0, -5.0, 5.0, 1.0, 9.0, 5.0, 5.0, -1.0, 1.0, -9.0, -5.0, -5.0, 1.0, -9.0, 5.0, -5.0, -1.0, -1.0, 0.0, -5.0, 0.0, 1.0, 0.0, 5.0, 0.0, -1.0, 0.0]","[-9.0, 5.0, -5.0, -1.0, -9.0, -5.0, -5.0, 1.0, -1.0, -9.0, 5.0, -5.0, -1.0, -9.0, -5.0, -5.0, 1.0, -1.0, -9.0, 5.0, -5.0, -1.0, -9.0, -5.0, -5.0, 1.0, -1.0, 9.0, 5.0, 5.0, -1.0, 9.0, -5.0, 5.0, 1.0, 1.0, 0.0, 5.0, 0.0, -1.0, 0.0, -5.0, 0.0, 1.0, 0.0]",1,"[2, 338]",[332]
/K?/P1:c/P2:c/C:Q/P1:c/P2:raise4,"['/C:K9/P1:c/P2:c/C:Q/P1:c/P2:raise4', '/C:KT/P1:c/P2:c/C:Q/P1:c/P2:raise4', '/C:KJ/P1:c/P2:c/C:Q/P1:c/P2:raise4', '/C:KQ/P1:c/P2:c/C:Q/P1:c/P2:raise4', '/C:KK/P1:c/P2:c/C:Q/P1:c/P2:raise4']",6,"[9.0, 5.0, 5.0, -1.0, 9.0, 5.0, 5.0, -1.0, 9.0, 5.0, 5.0, -1.0, -9.0, 5.0, -5.0, -1.0, 0.0, 5.0, 0.0, -1.0]","[-9.0, -5.0, -5.0, 1.0, -9.0, -5.0, -5.0, 1.0, -9.0, -5.0, -5.0, 1.0, 9.0, -5.0, 5.0, 1.0, 0.0, -5.0, 0.0, 1.0]",1,[],"[1, 332]"
/K?/P1:c/P2:c/C:T,"['/C:K9/P1:c/P2:c/C:T', '/C:KT/P1:c/P2:c/C:T', '/C:KJ/P1:c/P2:c/C:T', '/C:KQ/P1:c/P2:c/C:T', '/C:KK/P1:c/P2:c/C:T']",4,"[9.0, -5.0, 5.0, 1.0, 9.0, 5.0, 5.0, -1.0, 1.0, -9.0, -5.0, -5.0, 1.0, -9.0, 5.0, -5.0, -1.0, -1.0, 9.0, -5.0, 5.0, 1.0, 9.0, 5.0, 5.0, -1.0, 1.0, 9.0, -5.0, 5.0, 1.0, 9.0, 5.0, 5.0, -1.0, 1.0, 0.0, -5.0, 0.0, 1.0, 0.0, 5.0, 0.0, -1.0, 0.0]","[-9.0, 5.0, -5.0, -1.0, -9.0, -5.0, -5.0, 1.0, -1.0, 9.0, 5.0, 5.0, -1.0, 9.0, -5.0, 5.0, 1.0, 1.0, -9.0, 5.0, -5.0, -1.0, -9.0, -5.0, -5.0, 1.0, -1.0, -9.0, 5.0, -5.0, -1.0, -9.0, -5.0, -5.0, 1.0, -1.0, 0.0, 5.0, 0.0, -1.0, 0.0, -5.0, 0.0, 1.0, 0.0]",1,"[167, 275]",[332]
/Q?/P1:c/P2:raise2/P1:raise2/P2:c/C:Q/P1:raise4/P2:raise4,"['/C:Q9/P1:c/P2:raise2/P1:raise2/P2:c/C:Q/P1:raise4/P2:raise4', '/C:QT/P1:c/P2:raise2/P1:raise2/P2:c/C:Q/P1:raise4/P2:raise4', '/C:QJ/P1:c/P2:raise2/P1:raise2/P2:c/C:Q/P1:raise4/P2:raise4', '/C:QK/P1:c/P2:raise2/P1:raise2/P2:c/C:Q/P1:raise4/P2:raise4']",8,"[13.0, -9.0, 13.0, -9.0, 13.0, -9.0, 13.0, -9.0]","[-13.0, 9.0, -13.0, 9.0, -13.0, 9.0, -13.0, 9.0]",1,[],"[138, 182, 384]"
/Q?/P1:c/P2:raise2/P1:raise2/P2:c/C:K/P1:c/P2:raise4,"['/C:Q9/P1:c/P2:raise2/P1:raise2/P2:c/C:K/P1:c/P2:raise4', '/C:QT/P1:c/P2:raise2/P1:raise2/P2:c/C:K/P1:c/P2:raise4', '/C:QJ/P1:c/P2:raise2/P1:raise2/P2:c/C:K/P1:c/P2:raise4', '/C:QQ/P1:c/P2:raise2/P1:raise2/P2:c/C:K/P1:c/P2:raise4', '/C:QK/P1:c/P2:raise2/P1:raise2/P2:c/C:K/P1:c/P2:raise4']",8,"[13.0, 9.0, 9.0, -5.0, 13.0, 9.0, 9.0, -5.0, 13.0, 9.0, 9.0, -5.0, 0.0, 9.0, 0.0, -5.0, -13.0, 9.0, -9.0, -5.0]","[-13.0, -9.0, -9.0, 5.0, -13.0, -9.0, -9.0, 5.0, -13.0, -9.0, -9.0, 5.0, 0.0, -9.0, 0.0, 5.0, 13.0, -9.0, 9.0, 5.0]",1,[],"[138, 180, 384]"
/K?/P1:c/P2:c/C:K,"['/C:K9/P1:c/P2:c/C:K', '/C:KT/P1:c/P2:c/C:K', '/C:KJ/P1:c/P2:c/C:K', '/C:KQ/P1:c/P2:c/C:K']",4,"[9.0, -5.0, 5.0, 1.0, 9.0, 5.0, 5.0, -1.0, 1.0, 9.0, -5.0, 5.0, 1.0, 9.0, 5.0, 5.0, -1.0, 1.0, 9.0, -5.0, 5.0, 1.0, 9.0, 5.0, 5.0, -1.0, 1.0, 9.0, -5.0, 5.0, 1.0, 9.0, 5.0, 5.0, -1.0, 1.0]","[-9.0, 5.0, -5.0, -1.0, -9.0, -5.0, -5.0, 1.0, -1.0, -9.0, 5.0, -5.0, -1.0, -9.0, -5.0, -5.0, 1.0, -1.0, -9.0, 5.0, -5.0, -1.0, -9.0, -5.0, -5.0, 1.0, -1.0, -9.0, 5.0, -5.0, -1.0, -9.0, -5.0, -5.0, 1.0, -1.0]",1,"[62, 367]",[332]
/K?/P1:c/P2:c/C:J,"['/C:K9/P1:c/P2:c/C:J', '/C:KT/P1:c/P2:c/C:J', '/C:KJ/P1:c/P2:c/C:J', '/C:KQ/P1:c/P2:c/C:J', '/C:KK/P1:c/P2:c/C:J']",4,"[9.0, -5.0, 5.0, 1.0, 9.0, 5.0, 5.0, -1.0, 1.0, 9.0, -5.0, 5.0, 1.0, 9.0, 5.0, 5.0, -1.0, 1.0, -9.0, -5.0, -5.0, 1.0, -9.0, 5.0, -5.0, -1.0, -1.0, 9.0, -5.0, 5.0, 1.0, 9.0, 5.0, 5.0, -1.0, 1.0, 0.0, -5.0, 0.0, 1.0, 0.0, 5.0, 0.0, -1.0, 0.0]","[-9.0, 5.0, -5.0, -1.0, -9.0, -5.0, -5.0, 1.0, -1.0, -9.0, 5.0, -5.0, -1.0, -9.0, -5.0, -5.0, 1.0, -1.0, 9.0, 5.0, 5.0, -1.0, 9.0, -5.0, 5.0, 1.0, 1.0, -9.0, 5.0, -5.0, -1.0, -9.0, -5.0, -5.0, 1.0, -1.0, 0.0, 5.0, 0.0, -1.0, 0.0, -5.0, 0.0, 1.0, 0.0]",1,"[67, 68]",[332]
/T?/P1:c/P2:c/C:Q/P1:raise4/P2:raise4,"['/C:T9/P1:c/P2:c/C:Q/P1:raise4/P2:raise4', '/C:TT/P1:c/P2:c/C:Q/P1:raise4/P2:raise4', '/C:TJ/P1:c/P2:c/C:Q/P1:raise4/P2:raise4', '/C:TQ/P1:c/P2:c/C:Q/P1:raise4/P2:raise4', '/C:TK/P1:c/P2:c/C:Q/P1:raise4/P2:raise4']",6,"[9.0, -5.0, 0.0, -5.0, -9.0, -5.0, -9.0, -5.0, -9.0, -5.0]","[-9.0, 5.0, 0.0, 5.0, 9.0, 5.0, 9.0, 5.0, 9.0, 5.0]",1,[],"[37, 66]"
/9?/P1:raise2/P2:raise2/P1:c/C:9/P1:c/P2:raise4,"['/C:9T/P1:raise2/P2:raise2/P1:c/C:9/P1:c/P2:raise4', '/C:9J/P1:raise2/P2:raise2/P1:c/C:9/P1:c/P2:raise4', '/C:9Q/P1:raise2/P2:raise2/P1:c/C:9/P1:c/P2:raise4', '/C:9K/P1:raise2/P2:raise2/P1:c/C:9/P1:c/P2:raise4']",7,"[13.0, 9.0, 9.0, -5.0, 13.0, 9.0, 9.0, -5.0, 13.0, 9.0, 9.0, -5.0, 13.0, 9.0, 9.0, -5.0]","[-13.0, -9.0, -9.0, 5.0, -13.0, -9.0, -9.0, 5.0, -13.0, -9.0, -9.0, 5.0, -13.0, -9.0, -9.0, 5.0]",1,[],"[150, 301, 348]"
