Map,Depth,Payoff Vector P1,Player,Sons,Parents,Structure
[0],1,"[-1.0, -2.0, -1.0, -2.0, 1.0, -1.0, -2.0, -1.0, -2.0, 1.0]",1,[9],[],0
[4],1,"[1.0, 2.0, -1.0, 2.0, 1.0, -1.0, -2.0, -1.0, -2.0, 1.0]",1,[10],[],0
[8],1,"[1.0, 2.0, -1.0, 2.0, 1.0, 1.0, 2.0, -1.0, 2.0, 1.0]",1,[11],[],0
[2],2,"[1.0, 2.0, -1.0, 1.0, 2.0, -1.0]",2,[],[],2
[3],2,"[2.0, 1.0, 2.0, 1.0]",2,[],[],3
[6],2,"[-1.0, -2.0, -1.0, 1.0, 2.0, -1.0]",2,[],[],2
[7],2,"[-2.0, 1.0, 2.0, 1.0]",2,[],[],3
[10],2,"[-1.0, -2.0, -1.0, -1.0, -2.0, -1.0]",2,[],[],2
[11],2,"[-2.0, 1.0, -2.0, 1.0]",2,[],[],3
[1],3,"[-2.0, -1.0, -2.0, -1.0]",1,[],[0],1
[5],3,"[2.0, -1.0, -2.0, -1.0]",1,[],[1],1
[9],3,"[2.0, -1.0, 2.0, -1.0]",1,[],[2],1
