History,History_Structure,Depth,Payoff,Player,Real_Parents,Actions,Probability,Index_Members,Map_Clust,Actions_Prob
/9?/P1:c/P2:c/C:K/P1:c/P2:raise4,0,6,"[0.0, 5.0, 0.0, -1.0, -9.0, 5.0, -5.0, -1.0, -9.0, 5.0, -5.0, -1.0, -9.0, 5.0, -5.0, -1.0, -9.0, 5.0, -5.0, -1.0]",1,[26],"['raise4', 'c', 'f']",0.04444444444444445,"[308, 698, 1088, 1478, 1868]",[54],"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
/K?/P1:c/P2:c/C:Q,1,4,"[9.0, -5.0, 5.0, 1.0, 9.0, 5.0, 5.0, -1.0, 1.0, 9.0, -5.0, 5.0, 1.0, 9.0, 5.0, 5.0, -1.0, 1.0, 9.0, -5.0, 5.0, 1.0, 9.0, 5.0, 5.0, -1.0, 1.0, -9.0, -5.0, -5.0, 1.0, -9.0, 5.0, -5.0, -1.0, -1.0, 0.0, -5.0, 0.0, 1.0, 0.0, 5.0, 0.0, -1.0, 0.0]",1,[332],"['raise4', 'c']",0.04444444444444445,"[7871, 8261, 8651, 9041, 9371]",[10],"[0.5, 0.5]"
/K?/P1:c/P2:c/C:Q/P1:c/P2:raise4,0,6,"[9.0, 5.0, 5.0, -1.0, 9.0, 5.0, 5.0, -1.0, 9.0, 5.0, 5.0, -1.0, -9.0, 5.0, -5.0, -1.0, 0.0, 5.0, 0.0, -1.0]",1,[1],"['raise4', 'c', 'f']",0.04444444444444445,"[7868, 8258, 8648, 9038, 9368]",[52],"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
/K?/P1:c/P2:c/C:T,1,4,"[9.0, -5.0, 5.0, 1.0, 9.0, 5.0, 5.0, -1.0, 1.0, -9.0, -5.0, -5.0, 1.0, -9.0, 5.0, -5.0, -1.0, -1.0, 9.0, -5.0, 5.0, 1.0, 9.0, 5.0, 5.0, -1.0, 1.0, 9.0, -5.0, 5.0, 1.0, 9.0, 5.0, 5.0, -1.0, 1.0, 0.0, -5.0, 0.0, 1.0, 0.0, 5.0, 0.0, -1.0, 0.0]",1,[332],"['raise4', 'c']",0.04444444444444445,"[7841, 8231, 8621, 9011, 9341]",[13],"[0.5, 0.5]"
/Q?/P1:c/P2:raise2/P1:raise2/P2:c/C:Q/P1:raise4/P2:raise4,2,8,"[13.0, -9.0, 13.0, -9.0, 13.0, -9.0, 13.0, -9.0]",1,[182],"['c', 'f']",0.022222222222222227,"[5828, 6218, 6608, 7313]",[137],"[0.5, 0.5]"
/Q?/P1:c/P2:raise2/P1:raise2/P2:c/C:K/P1:c/P2:raise4,3,8,"[13.0, 9.0, 9.0, -5.0, 13.0, 9.0, 9.0, -5.0, 13.0, 9.0, 9.0, -5.0, 0.0, 9.0, 0.0, -5.0, -13.0, 9.0, -9.0, -5.0]",1,[180],"['raise4', 'c', 'f']",0.04444444444444445,"[5852, 6242, 6632, 6977, 7337]",[139],"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
/K?/P1:c/P2:c/C:K,1,4,"[9.0, -5.0, 5.0, 1.0, 9.0, 5.0, 5.0, -1.0, 1.0, 9.0, -5.0, 5.0, 1.0, 9.0, 5.0, 5.0, -1.0, 1.0, 9.0, -5.0, 5.0, 1.0, 9.0, 5.0, 5.0, -1.0, 1.0, 9.0, -5.0, 5.0, 1.0, 9.0, 5.0, 5.0, -1.0, 1.0]",1,[332],"['raise4', 'c']",0.022222222222222227,"[7886, 8276, 8666, 9056]",[14],"[0.5, 0.5]"
/K?/P1:c/P2:c/C:J,1,4,"[9.0, -5.0, 5.0, 1.0, 9.0, 5.0, 5.0, -1.0, 1.0, 9.0, -5.0, 5.0, 1.0, 9.0, 5.0, 5.0, -1.0, 1.0, -9.0, -5.0, -5.0, 1.0, -9.0, 5.0, -5.0, -1.0, -1.0, 9.0, -5.0, 5.0, 1.0, 9.0, 5.0, 5.0, -1.0, 1.0, 0.0, -5.0, 0.0, 1.0, 0.0, 5.0, 0.0, -1.0, 0.0]",1,[332],"['raise4', 'c']",0.04444444444444445,"[7856, 8246, 8636, 9026, 9356]",[10],"[0.5, 0.5]"
/T?/P1:c/P2:c/C:Q/P1:raise4/P2:raise4,4,6,"[9.0, -5.0, 0.0, -5.0, -9.0, -5.0, -9.0, -5.0, -9.0, -5.0]",1,[37],"['c', 'f']",0.04444444444444445,"[2234, 2549, 2939, 3329, 3719]",[57],"[0.5, 0.5]"
/9?/P1:raise2/P2:raise2/P1:c/C:9/P1:c/P2:raise4,5,7,"[13.0, 9.0, 9.0, -5.0, 13.0, 9.0, 9.0, -5.0, 13.0, 9.0, 9.0, -5.0, 13.0, 9.0, 9.0, -5.0]",1,[150],"['raise4', 'c', 'f']",0.022222222222222227,"[326, 716, 1106, 1496]",[97],"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
